run_id,segment_idx,start_ts,end_ts,duration_s,mean_activity,mean_pressure,mean_vial_temp,mean_speed,dominant_state
initial_evap,0,2026-06-02 16:14:16,2026-06-02 16:15:30,74.0,0.31841010657970814,1002.6218920000002,22.73733333333333,0.0,1
initial_evap,1,2026-06-02 16:15:31,2026-06-02 16:16:00,29.0,120.1137623273866,512.5022033333333,21.780000000000005,87.374193,3
initial_evap,2,2026-06-02 16:16:01,2026-06-02 16:17:20,79.0,11.719423458212763,61.459729137500005,20.297500012500002,96.089202875,3
initial_evap,3,2026-06-02 16:17:21,2026-06-02 16:19:20,119.0,36.79020260207928,460.3166629166666,31.02833328333333,60.18037316666666,3
lh_and_evap,0,2026-06-02 17:26:14,2026-06-02 17:31:18,304.0,0.5007708590815855,1002.6768665573771,22.93540983606557,0.1639294426229508,1
lh_and_evap,1,2026-06-02 17:31:19,2026-06-02 17:31:48,29.0,122.94035678958258,445.7679496666666,21.433333133333335,92.7766955,3
lh_and_evap,2,2026-06-02 17:31:49,2026-06-02 17:32:48,59.0,9.941329710363412,68.40368199999999,10.706666683333333,95.69231683333334,3
lh_and_evap,3,2026-06-02 17:32:49,2026-06-02 17:33:43,54.0,77.35385405113904,224.58749552727272,34.83090890909091,92.79931498181818,3
lh_and_evap,4,2026-06-02 17:33:44,2026-06-02 17:36:38,174.0,0.4882813203047156,1002.9401714285713,27.08514284571428,0.0,3
lh_and_evap,5,2026-06-02 17:36:39,2026-06-02 17:37:08,29.0,123.34940437456063,506.2863276666667,23.543333399999998,88.89433093333334,3
lh_and_evap,6,2026-06-02 17:37:09,2026-06-02 17:38:03,54.0,9.802560197645748,75.75103416363638,9.79999996363636,96.87200272727269,3
lh_and_evap,7,2026-06-02 17:38:04,2026-06-02 17:38:38,34.0,5.778397228355905,29.381245085714284,23.908571371428575,97.31950428571427,3
lh_and_evap,8,2026-06-02 17:38:39,2026-06-02 17:39:23,44.0,93.01318743136395,268.0307382666666,36.29111128888888,90.91176279999999,3
lh_and_evap,9,2026-06-02 17:39:24,2026-06-02 17:42:58,214.0,0.5494008349072966,1003.2735627906976,26.57720930232558,0.0,3
lh_and_evap,10,2026-06-02 17:42:59,2026-06-02 17:43:33,34.0,106.75062328691828,481.58953857142853,22.8542858,87.23100942857144,3
lh_and_evap,11,2026-06-02 17:43:34,2026-06-02 17:44:38,64.0,9.640795984548117,63.37199524615385,11.640000015384615,97.38411538461538,3
lh_and_evap,12,2026-06-02 17:44:39,2026-06-02 17:45:28,49.0,84.52576902621865,204.81016251999998,35.4099996,95.48423369999999,3
lh_and_evap,13,2026-06-02 17:45:29,2026-06-02 17:48:23,174.0,0.5936020886891603,1003.3768474285715,28.047999988571434,0.23561508571428574,3
lh_and_evap,14,2026-06-02 17:48:24,2026-06-02 17:49:58,94.0,43.80645780054229,219.99825633684208,26.642105178947368,93.69376867368422,3
lh_and_evap,15,2026-06-02 17:49:59,2026-06-02 17:54:38,279.0,15.156087005330626,829.5003532214284,29.394642814285714,20.67770315,3
lh_and_evap,16,2026-06-02 17:54:39,2026-06-02 17:55:08,29.0,123.59806362826306,433.5094000000001,23.460000200000007,95.74531106666667,3
lh_and_evap,17,2026-06-02 17:55:09,2026-06-02 17:56:13,64.0,9.49057622616301,65.01797078461539,12.639999876923078,97.70416476923077,3
lh_and_evap,18,2026-06-02 17:56:14,2026-06-02 17:57:03,49.0,84.84081481546409,223.45887188,36.05799948,94.9005194,3
lh_and_evap,19,2026-06-02 17:57:04,2026-06-02 17:59:58,174.0,0.44350806095989104,1003.1697279999998,27.672571428571434,0.08651716571428572,3
lh_and_evap,20,2026-06-02 17:59:59,2026-06-02 18:00:28,29.0,123.37146755380793,522.9778729999999,24.496666666666666,88.04450746666667,3
lh_and_evap,21,2026-06-02 18:00:29,2026-06-02 18:01:38,69.0,8.455255781082096,66.51871262857145,14.475714199999999,97.96345071428568,3
lh_and_evap,22,2026-06-02 18:01:39,2026-06-02 18:02:33,54.0,75.41750827760428,224.70261839999995,35.36909050909091,94.13692438181819,3
lh_and_evap,23,2026-06-02 18:02:34,2026-06-02 18:06:08,214.0,0.43640563850047176,1003.1342506976744,27.553488372093025,0.0,3
lh_and_evap,24,2026-06-02 18:06:09,2026-06-02 18:06:43,34.0,105.91717311390427,495.90997371428574,23.428571657142857,85.37256402857143,3
lh_and_evap,25,2026-06-02 18:06:44,2026-06-02 18:07:48,64.0,9.915826911419884,64.01410570769231,12.875384646153847,97.49634246153846,3
lh_and_evap,26,2026-06-02 18:07:49,2026-06-02 18:08:38,49.0,83.99686700732573,262.29127752,34.92199996,91.4385861,3
lh_and_evap,27,2026-06-02 18:08:39,2026-06-02 18:11:33,174.0,0.5407169945165987,1003.1231142857142,27.975428548571426,0.11968594285714285,3
lh_and_evap,28,2026-06-02 18:11:34,2026-06-02 18:12:03,29.0,122.71316906937308,469.093598,23.986666666666665,93.24511280000002,3
lh_and_evap,29,2026-06-02 18:12:04,2026-06-02 18:13:13,69.0,9.455317702943306,64.1125282,13.698571457142856,97.94314257142857,3
lh_and_evap,30,2026-06-02 18:13:14,2026-06-02 18:14:33,79.0,53.2157912773301,552.600933675,32.618749975,56.1358785625,3
lh_and_evap,31,2026-06-02 18:14:34,2026-06-02 18:18:16,222.0,0.39840337353422584,1003.1885385650224,23.738565022421525,0.0,1
