event_id,run_id,channel,kind,start_ts,end_ts,start_t_s,duration_s,value_start,value_end,delta,value_min,value_max,peak_rate_per_s,mean_abs_z,direction
41,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:26:40,2026-06-02 17:27:18,26.0,38.0,49.939376,54.240028,4.3006519999999995,49.939376,54.240028,0.15547600000000017,9.27838099330547,up
42,lh_and_evap,homeOpto,transition,2026-06-02 17:26:46,2026-06-02 17:26:46,32.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
43,lh_and_evap,homeOpto,transition,2026-06-02 17:26:56,2026-06-02 17:26:56,42.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
44,lh_and_evap,carouselStatus,transition,2026-06-02 17:26:57,2026-06-02 17:26:57,43.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
45,lh_and_evap,carouselStatus,transition,2026-06-02 17:27:09,2026-06-02 17:27:09,55.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
46,lh_and_evap,homeOpto,transition,2026-06-02 17:27:09,2026-06-02 17:27:09,55.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
47,lh_and_evap,carouselStatus,transition,2026-06-02 17:27:10,2026-06-02 17:27:10,56.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
48,lh_and_evap,carouselStatus,transition,2026-06-02 17:27:11,2026-06-02 17:27:11,57.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
49,lh_and_evap,carouselStatus,transition,2026-06-02 17:27:13,2026-06-02 17:27:13,59.0,0.0,2.0,3.0,1.0,2.0,3.0,,,up
50,lh_and_evap,homeOpto,transition,2026-06-02 17:27:13,2026-06-02 17:27:13,59.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
51,lh_and_evap,elevatorHeight,ramp,2026-06-02 17:27:17,2026-06-02 17:27:28,63.0,11.0,44.0,5356.0,5312.0,44.0,5356.0,499.0,11.16840088119517,up
52,lh_and_evap,carouselStatus,transition,2026-06-02 17:27:17,2026-06-02 17:27:17,63.0,0.0,3.0,2.0,-1.0,2.0,3.0,,,down
53,lh_and_evap,homeOpto,transition,2026-06-02 17:27:17,2026-06-02 17:27:17,63.0,0.0,1.0,0.0,-1.0,0.0,1.0,,,down
54,lh_and_evap,vialLoadedSwitch,transition,2026-06-02 17:27:28,2026-06-02 17:27:28,74.0,0.0,0.0,1.0,1.0,0.0,1.0,,,up
55,lh_and_evap,interconnectionTemp,ramp,2026-06-02 17:29:50,2026-06-02 17:30:29,216.0,39.0,49.996952,54.31726,4.320307999999997,49.996952,54.31726,0.16125800000000012,9.114283149991243,up
56,lh_and_evap,instrumentState,transition,2026-06-02 17:31:11,2026-06-02 17:31:11,297.0,0.0,1.0,3.0,2.0,1.0,3.0,,,up
57,lh_and_evap,targetSpeed,ramp,2026-06-02 17:31:16,2026-06-02 17:31:20,302.0,4.0,0.0,48.978412,48.978412,0.0,48.978412,12.372689,6.165871528304129,up
58,lh_and_evap,powerMon,ramp,2026-06-02 17:31:16,2026-06-02 17:31:40,302.0,24.0,23.902282,23.89178,-0.010501999999998901,23.869898,23.902282,0.009058999999998818,20.419956067078157,down
59,lh_and_evap,measuredSpeed,ramp,2026-06-02 17:31:17,2026-06-02 17:31:20,303.0,3.0,17.71542,78.914135,61.198715,17.71542,78.914135,23.3155375,6.421870266282987,up
60,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:31:20,2026-06-02 17:32:40,306.0,80.0,1002.6844,29.525764,-973.158636,29.525764,1002.6844,-67.01979,746.8348992513388,down
61,lh_and_evap,vialTemp,ramp,2026-06-02 17:31:28,2026-06-02 17:31:31,314.0,3.0,23.7,22.4,-1.3000000000000007,22.4,23.7,-0.5,5.3959260758126835,down
62,lh_and_evap,avgVialTemp,ramp,2026-06-02 17:31:33,2026-06-02 17:33:07,319.0,94.0,23.34097,37.63696,14.295990000000003,2.878957,37.63696,1.8929980000000004,12.495467076814736,up
63,lh_and_evap,vialTemp,ramp,2026-06-02 17:31:39,2026-06-02 17:31:44,325.0,5.0,21.4,17.299998,-4.100002,17.299998,21.4,-1.050001,9.892533387292453,down
64,lh_and_evap,powerMon,ramp,2026-06-02 17:31:49,2026-06-02 17:31:59,335.0,10.0,23.88657,23.892216,0.00564600000000226,23.876506,23.89223,0.001620000000000843,10.224437943995094,up
65,lh_and_evap,vialTemp,ramp,2026-06-02 17:31:57,2026-06-02 17:33:22,343.0,85.0,14.6,35.8,21.199999999999996,1.4,41.4,4.100001000000001,10.13304377288156,up
66,lh_and_evap,powerMon,ramp,2026-06-02 17:32:09,2026-06-02 17:32:13,355.0,4.0,23.887666,23.879126,-0.008539999999999992,23.879126,23.892478,-0.002017999999999631,8.798580951797685,down
67,lh_and_evap,powerMon,ramp,2026-06-02 17:32:20,2026-06-02 17:32:40,366.0,20.0,23.887188,23.886584,-0.0006039999999991608,23.87803,23.891762,0.0033080000000005327,8.372889555635178,down
68,lh_and_evap,vialHeaterTemp,ramp,2026-06-02 17:32:31,2026-06-02 17:34:10,377.0,99.0,27.336116,66.694735,39.35861899999999,27.336116,191.77516,11.191154999999995,21.081385057872257,up
69,lh_and_evap,condenserTemp,ramp,2026-06-02 17:32:40,2026-06-02 17:32:54,386.0,14.0,-34.774692,-34.045764,0.7289280000000034,-34.774692,-34.045764,0.08534000000000219,3.943899532541342,up
70,lh_and_evap,vacuumPressure,ramp,2026-06-02 17:32:49,2026-06-02 17:32:58,395.0,9.0,29.657602,28.35086,-1.3067419999999998,28.129866,29.657602,-0.3047809999999984,9.322575050300062,down
